data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
5280267,454,MAW284,284,"27 April 2016",2016,1,Riots,"Violent demonstration","Rioters (Malawi)",,5,,,0,50,"Eastern Africa",Malawi,Southern,Neno,"TA Ngozi",Neno,-15.4,34.65,1,"Nyasa Times (Malawi)",National,"Neno district staff protest non-payment of salaries, blocked gates to offices.",0,1561469182,MWI
4818831,454,MAW282,282,"26 April 2016",2016,1,Riots,"Violent demonstration","Rioters (Malawi)",,5,,,0,50,"Eastern Africa",Malawi,Southern,Nsanje,"Nsanje Boma",Nsanje,-16.9167,35.2667,1,GroundUp,National,"Rioters ransacked market and protested food shortages after a market official accidentally shot his gun during patrol and killed a person.",0,1552577209,MWI
5280266,454,MAW283,283,"26 April 2016",2016,1,Riots,"Violent demonstration","Rioters (Malawi)",,5,,,0,50,"Eastern Africa",Malawi,Central,Salima,"TA Karonga",Salima,-13.7196,34.4018,1,"Nyasa Times (Malawi)",National,"Villagers in Salima erected barricades to block district commissioners office, protesting the continued rule of Chief Kuluwunda.",0,1561469182,MWI
4819966,454,MAW280,280,"19 April 2016",2016,1,Protests,"Peaceful protest","Protesters (Malawi)",,6,,,0,60,"Eastern Africa",Malawi,Central,Salima,"TA Karonga",Salima,-13.7196,34.4018,1,"Malawi News Agency",National,"Villagers protest corruption of local chief.",0,1552577210,MWI
5280265,454,MAW281,281,"19 April 2016",2016,1,Riots,"Mob violence","Rioters (Malawi)","Vigilante Group (Malawi)",5,"Civilians (Malawi)",,7,57,"Eastern Africa",Malawi,Southern,Chikwawa,"Chikwawa Boma",Chikwawa,-16.0335,34.8009,1,"Nyasa Times (Malawi)",National,"Vigilante militia kill a suspected murderer in Chikwawa.",1,1561469182,MWI
5280263,454,MAW279,279,"04 April 2016",2016,1,Protests,"Peaceful protest","Protesters (Malawi)",,6,,,0,60,"Eastern Africa",Malawi,Central,"Lilongwe City","Lilongwe City",Lilongwe,-13.9833,33.7833,1,"Nyasa Times (Malawi)",National,"Disabled people protest the banning of street beggars.",0,1561469182,MWI
5280262,454,MAW278,278,"28 March 2016",2016,1,Riots,"Mob violence","Rioters (Malawi)","Vigilante Group (Malawi)",5,"Civilians (Malawi)",,7,57,"Eastern Africa",Malawi,Central,Dedza,"TA Kasumbu",Dedza,-14.3667,34.3333,1,"Nyasa Times (Malawi)",National,"Angry mob killed a suspected murderer in Dedza.",1,1561469182,MWI
5280261,454,MAW277,277,"28 March 2016",2016,1,Riots,"Mob violence","Rioters (Malawi)","Vigilante Group (Malawi)",5,"Civilians (Malawi)",,7,57,"Eastern Africa",Malawi,Southern,"Blantyre City","Blantyre City",Blantyre,-15.7833,35,2,"Nyasa Times (Malawi)",National,"Angry mob killed two criminals in Chinyonga near Blantyre.",2,1561469182,MWI
5280260,454,MAW276,276,"20 March 2016",2016,1,"Violence against civilians",Attack,"Unidentified Armed Group (Malawi)",,3,"Civilians (Malawi)","AFORD: Alliance for Democracy Militia; PP: Peoples Party; MCP: Malawi Congress Party",7,37,"Eastern Africa",Malawi,Northern,Mzimba,"TA Chindi",Mzuzu,-11.45,33.5833,1,"Malawi24; Nyasa Times (Malawi)",National,"Unknown group weilding pangas injured civilians gathered a joint MCP-PP-Aford rally, 4 injured.",0,1561469182,MWI
5280259,454,MAW275,275,"01 March 2016",2016,1,Riots,"Mob violence","Rioters (Malawi)","Vigilante Group (Malawi)",5,"Civilians (Malawi)",,7,57,"Eastern Africa",Malawi,Southern,Nsanje,"Nsanje Boma",Nsanje,-16.9167,35.2667,1,"AFP; Nyasa Times (Malawi)",National,"Vigilante militia burn to death 7 suspected of witchcraft because they were found with bones.",7,1561469182,MWI
5280258,454,MAW274,274,"23 February 2016",2016,1,Protests,"Protest with intervention","Protesters (Malawi)","MCP: Malawi Congress Party",6,"Police Forces of Malawi (2014-)",,1,16,"Eastern Africa",Malawi,Central,"Lilongwe City","Lilongwe City",Kanengo,-13.8949,33.8016,1,"Nyasa Times (Malawi)",National,"MCP members protest demand release of a legal advisor accused of coup plotting. Police fired tear gas.",0,1561469182,MWI
5280257,454,MAW273,273,"22 February 2016",2016,1,Protests,"Peaceful protest","Protesters (Malawi)",,6,,,0,60,"Eastern Africa",Malawi,Northern,Mzimba,"TA Chindi",Mzuzu,-11.45,33.5833,1,"Nyasa Times (Malawi)",National,"Protesters in Mzuzu address the government about food shortage and economic crisis.",0,1561469182,MWI
5280256,454,MAW272,272,"21 February 2016",2016,1,Riots,"Mob violence","Rioters (Malawi)","Vigilante Group (Malawi)",5,"Civilians (Malawi)",,7,57,"Eastern Africa",Malawi,Central,Kasungu,"TA Santhe",Chamkoma,-13.35,33.4167,1,"Nyasa Times (Malawi)",National,"Angry mob killed a man caught stealing tobacco in Chamkoma.",1,1561469182,MWI
5280255,454,MAW271,271,"15 February 2016",2016,3,Riots,"Mob violence","Rioters (Malawi)","Vigilante Group (Malawi)",5,"Civilians (Malawi)",,7,57,"Eastern Africa",Malawi,Southern,Mwanza,"Mwanza Boma",Mwanza,-15.6026,34.5248,1,"Nyasa Times (Malawi)",National,"Vigilante militia lynch to death 4 people in Mwanza who were found in possession of bones belonging to albinos.",4,1561469182,MWI
5280254,454,MAW270,270,"11 February 2016",2016,1,Riots,"Mob violence","Rioters (Malawi)",,5,"Civilians (Malawi)","Government of Malawi (2014-); DPP: Democratic Progressive Party",7,57,"Eastern Africa",Malawi,Southern,"Blantyre City","Blantyre City",Lunzu,-15.6537,35.0212,1,"Nyasa Times (Malawi)",National,"Rioter stoned and destroyed billboard showing President Mutharikas face. Police later arrested him.",0,1561469182,MWI
5280252,454,MAW269,269,"03 February 2016",2016,1,Riots,"Mob violence","Rioters (Malawi)",,5,"Police Forces of Malawi (2014-)",,1,15,"Eastern Africa",Malawi,Southern,"Blantyre City","Blantyre City",Machinjiri,-15.7167,35.05,1,"Nyasa Times (Malawi)",National,"Mob rioted and burnt a courthouse in Machinjiri. 2 policemen injured.",0,1561469182,MWI
4834169,454,MAW268,268,"28 January 2016",2016,1,Protests,"Peaceful protest","Protesters (Malawi)",,6,,,0,60,"Eastern Africa",Malawi,Central,"Lilongwe City","Lilongwe City",Dzenza,-13.8833,33.75,1,"Malawi News Agency",National,"Vendors protest in Dzenza over placement of stalls.",0,1552577227,MWI
5280250,454,MAW266,266,"26 January 2016",2016,1,Riots,"Violent demonstration","Rioters (Malawi)",,5,,,0,50,"Eastern Africa",Malawi,Central,Kasungu,"Kasungu Boma",Kasungu,-13.0333,33.4833,1,"Nyasa Times (Malawi)",National,"Kasungu residents riot and block roads for second day protesting against sale of maize.",0,1561469182,MWI
5280251,454,MAW267,267,"26 January 2016",2016,1,Riots,"Violent demonstration","Rioters (Malawi)",,5,,,0,50,"Eastern Africa",Malawi,Central,Dedza,"TA Kasumbu",Mtakataka,-14.1833,34.5667,1,"Nyasa Times (Malawi)",National,"Mtakataka residents riot and block roads for second day protesting against sale of maize.",0,1561469182,MWI
5280249,454,MAW265,265,"26 January 2016",2016,1,Riots,"Mob violence","Rioters (Malawi)","Vigilante Group (Malawi)",5,"Civilians (Malawi)",,7,57,"Eastern Africa",Malawi,Southern,Neno,"TA Ngozi",Chimbalanga,-15.2509,34.6297,1,"Nyasa Times (Malawi)",National,"Mob killed 4 in Chimbalanga who they suspected of using witchcraft to kill a young woman - the woman was killed by lightning strike.",4,1561469182,MWI
5280247,454,MAW263,263,"25 January 2016",2016,1,Riots,"Violent demonstration","Rioters (Malawi)",,5,,,0,50,"Eastern Africa",Malawi,Central,Kasungu,"Kasungu Boma",Kasungu,-13.0333,33.4833,1,"Nyasa Times (Malawi)",National,"Kasungu residents riot and block roads protesting against sale of maize.",0,1561469182,MWI
5280248,454,MAW264,264,"25 January 2016",2016,1,Riots,"Violent demonstration","Rioters (Malawi)",,5,,,0,50,"Eastern Africa",Malawi,Central,Dedza,"TA Kasumbu",Mtakataka,-14.1833,34.5667,1,"Nyasa Times (Malawi)",National,"Mtakataka residents riot and block roads protesting against sale of maize.",0,1561469182,MWI
5280246,454,MAW262,262,"01 January 2016",2016,1,Riots,"Mob violence","Rioters (Malawi)",,5,"Police Forces of Malawi (2014-)",,1,15,"Eastern Africa",Malawi,Central,"Lilongwe City","Lilongwe City",Lilongwe,-13.9833,33.7833,1,"Nyasa Times (Malawi)",National,"Rioters destroyed church property and set fire to vehicles after hearing a rumour that a pastor had turned into a snake. Police fired tear gas.",0,1561469182,MWI
